Date Separator: / (379)
    英語 (セントビンセント及びグレナディーン諸島), 0x1000, en-VC
    英語 (英領ヴァージン諸島), 0x1000, en-VG
    英語 (米領ヴァージン諸島), 0x1000, en-VI
    英語 (バヌアツ), 0x1000, en-VU
    英語 (サモア), 0x1000, en-WS
    英語 (南アフリカ), 0x1C09, en-ZA
    英語 (ザンビア), 0x1000, en-ZM
    英語 (ジンバブエ), 0x3009, en-ZW
    スペイン語 (ラテンアメリカ), 0x580A, es-419
    スペイン語 (アルゼンチン), 0x2C0A, es-AR
    スペイン語 (ボリビア), 0x400A, es-BO
    スペイン語 (ブラジル), 0x1000, es-BR
    スペイン語 (ベリーズ), 0x1000, es-BZ
    スペイン語 (コロンビア), 0x240A, es-CO
    スペイン語 (コスタリカ), 0x140A, es-CR
    スペイン語 (キューバ), 0x5C0A, es-CU
    スペイン語 (ドミニカ共和国), 0x1C0A, es-DO
    スペイン語 (エクアドル), 0x300A, es-EC
    スペイン語 (スペイン), 0x0C0A, es-ES
    スペイン語 (赤道ギニア), 0x1000, es-GQ
    スペイン語 (グアテマラ), 0x100A, es-GT
    スペイン語 (ホンジュラス), 0x480A, es-HN
    スペイン語 (メキシコ), 0x080A, es-MX
    スペイン語 (ニカラグア), 0x4C0A, es-NI
    スペイン語 (パナマ), 0x180A, es-PA
    スペイン語 (ペルー), 0x280A, es-PE
    スペイン語 (フィリピン), 0x1000, es-PH
    スペイン語 (プエルトリコ), 0x500A, es-PR
    スペイン語 (パラグアイ), 0x3C0A, es-PY
    スペイン語 (エルサルバドル), 0x440A, es-SV
    スペイン語 (アメリカ合衆国), 0x540A, es-US
    スペイン語 (ウルグアイ), 0x380A, es-UY
    スペイン語 (ベネズエラ), 0x200A, es-VE
    バスク語 (スペイン), 0x042D, eu-ES
    エウォンド語 (カメルーン), 0x1000, ewo-CM
    ペルシア語 (アフガニスタン), 0x1000, fa-AF
    ペルシア語 (イラン), 0x0429, fa-IR
    フラ語 (ラテン文字、ブルキナファソ), 0x1000, ff-Latn-BF
    フラ語 (ラテン文字、カメルーン), 0x1000, ff-Latn-CM
    フラ語 (ラテン文字、ガーナ), 0x1000, ff-Latn-GH
    フラ語 (ラテン文字、ガンビア), 0x1000, ff-Latn-GM
    フラ語 (ラテン文字、ギニア), 0x1000, ff-Latn-GN
    フラ語 (ラテン文字、ギニアビサウ), 0x1000, ff-Latn-GW
    フラ語 (ラテン文字、リベリア), 0x1000, ff-Latn-LR
    フラ語 (ラテン文字、モーリタニア), 0x1000, ff-Latn-MR
    フラ語 (ラテン文字、ニジェール), 0x1000, ff-Latn-NE
    フラ語 (ラテン文字、ナイジェリア), 0x1000, ff-Latn-NG
    フラ語 (ラテン文字、シエラレオネ), 0x1000, ff-Latn-SL
